Organization Id,Name,Country,Founded,Industry,Number of employees
f6Ad85a8d6A08bd,Oconnor PLC,Korea,20th century,PERFORMING ARTS,8563
299e97aFeA5AAb3,"Skinner, Carrillo and Mckay",Macedonia,21th century,GAMBLING / CASINOS,1945
Bf8BbedDaba38A3,Sheppard Ltd,Morocco,20th century,FURNITURE,4564
913dcD3833fa125,"Miller, Bowen and Webster",Sudan,21th century,FINE ART,6378
0DfEC3aFBeAda4A,Randall and Sons,Lesotho,20th century,COMMERCIAL REAL ESTATE,3133
A6Be954495a1Fee,"Boyd, Kaiser and Sampson",Mauritania,20th century,INTERNET,6087
05eE53c2daf90fC,Moses PLC,Uruguay,21th century,REAL ESTATE / MORTGAGE,1263
80Edbd912BA6058,Stone Inc,French Guiana,20th century,MOTION PICTURES / FILM,5380
56eA0cacdAaC961,Cooley-Harding,Indonesia,21th century,PUBLIC SAFETY,6366
fC790CAFC50Aab3,"Nixon, Hawkins and Monroe",Sri Lanka,20th century,TRANSLATION / LOCALIZATION,4156
9D923794e3AffCF,Cervantes PLC,United Kingdom,20th century,PACKAGE / FREIGHT DELIVERY,5598
cA2CcBbCf1D2239,Watson-Ho,Macao,21th century,MUSEUMS / INSTITUTIONS,2284
EeAAFcdd21dDA58,"Grimes, Bauer and Page",Holy See (Vatican City State),20th century,MACHINERY,6323
2dC312dDFAFF23D,Gomez and Sons,Uganda,20th century,PHOTOGRAPHY,6250
ec857Ee010B3721,"Kaufman, Coleman and Leonard",Portugal,20th century,RANCHING,8809
F87A7133EDf5006,Bartlett-Blankenship,Cote d'Ivoire,20th century,INTERNATIONAL TRADE / DEVELOPMENT,7426
742e0CdDEC1CBE3,Guerrero Ltd,Burundi,21th century,PHOTOGRAPHY,4880
e5aeEbaeaCd70B9,Benjamin and Sons,Jamaica,20th century,JUDICIARY,6338
cB3FcD6ebBd6F9b,"Figueroa, Cross and Bishop",Bolivia,21th century,REAL ESTATE / MORTGAGE,5762
A4c3f2fADD9848B,"Morales, Haas and Hunter",Uzbekistan,21th century,INDIVIDUAL / FAMILY SERVICES,1210
D4d88edCeC07f6a,Little Group,Falkland Islands (Malvinas),20th century,TELECOMMUNICATIONS,3033
a3E6FfB5C4CCbcf,"Leach, Villa and Weaver",Svalbard & Jan Mayen Islands,20th century,IMPORT / EXPORT,9935
bF269f627Eee5c9,Hoffman Ltd,Honduras,20th century,FURNITURE,5896
D2942D7Cf9c2dEB,Kirk-Powers,Vanuatu,21th century,INFORMATION SERVICES,8205
3E85EdAA117EEf1,"Frank, Haley and Mcdaniel",Hungary,20th century,RECREATIONAL FACILITIES / SERVICES,4353
5736Cd70f5da8a7,Duran and Sons,Falkland Islands (Malvinas),20th century,HUMAN RESOURCES / HR,3432
aEcbB1D24eff919,Stewart-Rice,Western Sahara,20th century,COMMERCIAL REAL ESTATE,6309
b566B61EFAAbA2D,Phillips-Santiago,Somalia,20th century,COMMERCIAL REAL ESTATE,6900
1CbbcbcE39fA9A9,Dunn-Holden,Saint Helena,20th century,NEWSPAPERS / JOURNALISM,3331
DcED8F7B7EFFA1A,Travis Inc,Portugal,20th century,COMPUTER GAMES,7777
D52bFDB53D965b3,"Mccall, Oneill and Diaz",New Caledonia,20th century,RESTAURANTS,9949
a8FAfec4a520d68,Sawyer-Cisneros,Northern Mariana Islands,21th century,RECREATIONAL FACILITIES / SERVICES,3328
3bAcb3b524cDcfB,Wilcox Inc,Guernsey,21th century,LAW ENFORCEMENT,6586
eC4cDc7a24B6BcD,Sherman and Sons,Falkland Islands (Malvinas),21th century,RELIGIOUS INSTITUTIONS,8080
11d2962E8c450d6,"Middleton, Kelly and Friedman",Eritrea,20th century,DAIRY,9629
64ccBF8FDeDeFba,Green Ltd,Turkmenistan,21th century,INDIVIDUAL / FAMILY SERVICES,1371
Af5a9AC8Dbc1963,"Hays, Villa and Wall",Korea,20th century,MARKETING / ADVERTISING / SALES,2286
3D3B39a8f57f2A3,"Calhoun, Espinoza and Whitney",Mexico,20th century,UTILITIES,6828
84717afdA7D7F02,Weber Ltd,Portugal,20th century,OIL / ENERGY / SOLAR / GREENTECH,9629
74FAA2BF6f0E0ed,"Mcintyre, Leach and Hernandez",Saint Pierre and Miquelon,20th century,COMPUTER SOFTWARE / ENGINEERING,9224
7d3c96Ae4d63466,"Kane, Lowe and Ashley",Cook Islands,21th century,FINANCIAL SERVICES,4493
2Dd5dEf2C7DDDfe,Meyers-Roy,Australia,21th century,FINE ART,1436
9c8AbD6c6bBBeCE,"Fox, Holmes and Morse",Belize,21th century,RANCHING,4860
fccd554C4cEaba9,Andersen-Colon,Burkina Faso,20th century,GOVERNMENT ADMINISTRATION,6494
b9AcF65Aa0b8FDB,Christian Inc,Oman,20th century,FUNDRAISING,3382
5c8ac4A2cf52f76,Merritt Ltd,Togo,20th century,MANAGEMENT CONSULTING,7382
299F8Cf3aCD98b4,Caldwell and Sons,Costa Rica,21th century,PHILANTHROPY,9194
89d949a6faAcDc2,Aguilar-Simpson,British Indian Ocean Territory (Chagos Archipelago),20th century,PERFORMING ARTS,5016
0FB9ff5b434Dcd4,Thomas Ltd,Seychelles,21th century,MEDICAL EQUIPMENT,3474
Fc679bcD4fAe6AB,"Travis, Booker and Stewart",Sao Tome and Principe,21th century,RELIGIOUS INSTITUTIONS,1971
66df89DcEeE8eE3,"Soto, Armstrong and Mcguire",Romania,21th century,UTILITIES,3761
82aE950c0fEEa84,Bailey-Hayden,Armenia,20th century,COMPUTER NETWORKING,2063
1b99fbB6628fbaA,Potter-Walter,Uzbekistan,20th century,MACHINERY,2854
ceA7b086fF68dFa,Knox Ltd,Saint Pierre and Miquelon,21th century,SECURITY / INVESTIGATIONS,1659
B4E4CaC3C9bFCb4,Conner PLC,Pitcairn Islands,21th century,MARKET RESEARCH,5142
1Ec7ccC2e08a8Ed,"Fitzpatrick, Jordan and Mcclure",Uganda,20th century,FURNITURE,3670
cFF62CF32feEd66,"Mitchell, Barnes and Terrell",Ecuador,21th century,LEGAL SERVICES,6054
86ea58625dCe645,Douglas-Arnold,Tajikistan,20th century,CONSUMER SERVICES,1449
b983aCf8878Cba5,Wolfe-Whitehead,Sri Lanka,20th century,DEFENSE / SPACE,9471
650A10df4Eb8A3C,Russo PLC,Jamaica,21th century,PAPER / FOREST PRODUCTS,9101
A8F647a5Bb86598,"Malone, David and Santos",Honduras,21th century,GOVERNMENT ADMINISTRATION,8341
4AfB3B5a9CaFEc8,"Henson, Benitez and Fox",French Guiana,20th century,HIGHER EDUCATION / ACADAMIA,6937
f2cfa0E918Cdd6a,White-Wong,Egypt,21th century,MARITIME,4252
bA6e6f0cB65C319,Velez Ltd,Antarctica (the territory South of 60 deg S),20th century,CIVIL ENGINEERING,1772
E799C0EeDfdBfcb,"Banks, Mclean and Perry",Liechtenstein,21th century,SPORTING GOODS,3956
7AB9Ce58DC01e75,"Harvey, Hayes and Moore",Costa Rica,21th century,PHOTOGRAPHY,7464
124EeaBFdE9Fffb,Dougherty-Harmon,Malaysia,20th century,FINANCIAL SERVICES,2687
65A7d73Df8f104E,Knapp LLC,Serbia,21th century,DEFENSE / SPACE,1108
b5A05c9aadf28e3,Sullivan-Kane,Indonesia,20th century,MUSEUMS / INSTITUTIONS,7746
A5a144A7C4BFeAE,Bell-Ibarra,Thailand,20th century,ENVIRONMENTAL SERVICES,9183
7bd368a51Cd69bB,Ramsey Ltd,Northern Mariana Islands,21th century,MARKET RESEARCH,7752
BffA047Ac720aF8,Walker-Sloan,Guadeloupe,20th century,INDUSTRIAL AUTOMATION,9895
811F32e95eAA01a,Wiggins Inc,South Georgia and the South Sandwich Islands,21th century,LEGISLATIVE OFFICE,6703
6cb5e0EDee1fc0C,Clark-Maddox,Argentina,20th century,FINE ART,7781
003c7d245f78Fc2,"Rodriguez, Morrow and Salinas",Cape Verde,20th century,ELECTRICAL / ELECTRONIC MANUFACTURING,1068
0103060f81d444D,Patton-Randall,Bangladesh,20th century,SECURITY / INVESTIGATIONS,2371
8568B93d4eCe7b3,Sosa-Burton,Martinique,21th century,NANOTECHNOLOGY,7638
Fb6CFE03c1AFfD0,Schneider Ltd,Kenya,21th century,LIBRARY,2601
dFe6bCAe214A0DD,Aguilar-Sloan,Lithuania,20th century,ALTERNATIVE DISPUTE RESOLUTION,1554
301aE5bffc651bF,Lindsey Group,United States Virgin Islands,21th century,MEDICAL EQUIPMENT,4221
625Cf8d258fFDEc,Tapia-Tyler,Brunei Darussalam,20th century,CHEMICALS,9921
ad71a2fCeF22c9B,Burch Ltd,Monaco,20th century,FOOD / BEVERAGES,2108
9aEeD33350BA0a1,Gillespie-Potts,Jersey,20th century,INSURANCE,6297
2840220621B524b,Shelton LLC,Tonga,20th century,SEMICONDUCTORS,1544
0aD44EFabF3fced,Espinoza Group,Poland,21th century,HOSPITALITY,1984
ad7abD76b627EA9,Beasley-Friedman,Lebanon,21th century,PERFORMING ARTS,8691
B7A6A95Db9dAD82,"Rojas, Owen and Castaneda",Macedonia,21th century,CONSTRUCTION,9575
E28CeE0c73B74DB,Bass Inc,Indonesia,21th century,INVESTMENT MANAGEMENT / HEDGE FUND / PRIVATE EQUITY,8245
Fc7BB1c318d0d55,Novak Inc,Spain,20th century,LEISURE / TRAVEL,2530
edD0DdAD1FeB6Ad,Morales-Schmitt,Benin,21th century,PROFESSIONAL TRAINING,2919
f6D8fDAFFF3d9fC,Harmon-Donovan,Costa Rica,20th century,LAW PRACTICE / LAW FIRMS,9929
03e3Fe0C2651B26,Pineda Inc,Congo,20th century,SEMICONDUCTORS,2498
7A9436eFF2aFDa3,Ford-Munoz,Cocos (Keeling) Islands,20th century,SUPERMARKETS,8518
88be54d5A8cD359,Lutz LLC,Hungary,20th century,COMPUTER GAMES,8956
cc6147b2DdC8B5d,"Sims, Valenzuela and Esparza",Vanuatu,20th century,MINING / METALS,9676
91cD7feaED0082C,"Pennington, Meadows and Lowe",Saint Lucia,21th century,RELIGIOUS INSTITUTIONS,6468
efdDfd4C048B4DC,Levy-Olsen,Equatorial Guinea,21th century,MUSIC,8074
AB6bAaD15793E4C,Joseph LLC,Samoa,20th century,GOVERNMENT RELATIONS,3958
77Ad6aD09988Fff,Crawford-Sims,Sri Lanka,21th century,MOTION PICTURES / FILM,8106
F3E3d200e50dACb,"Gomez, Moses and Burns",Bahamas,20th century,MINING / METALS,4329
4D196aF8Fca6af1,Riley-Potts,Japan,21th century,FURNITURE,4100
8ECc90A69B3aa7D,"Hooper, Chaney and Wheeler",Cook Islands,20th century,HOSPITAL / HEALTH CARE,7672
E36dB49134Da97E,Flynn Ltd,Afghanistan,21th century,ELECTRICAL / ELECTRONIC MANUFACTURING,2424
b50Fb2c61C0D9B4,Tucker and Sons,Jamaica,21th century,REAL ESTATE / MORTGAGE,3711
D22Ab26a20Fe60d,Nelson-Carney,Cote d'Ivoire,20th century,HOSPITALITY,3211
5e274E3EE74c981,"Pope, Keith and Jacobson",Seychelles,20th century,TEXTILES,8003
4CcB80FbdFf3a87,Schneider-Morton,Portugal,21th century,STAFFING / RECRUITING,3342
18F57aaDEaCdF2B,Small-Smith,Lesotho,20th century,AIRLINES / AVIATION,4893
AE0Bf0b605bC524,Carlson-Cameron,Bouvet Island (Bouvetoya),21th century,UTILITIES,8762
1aEE9cEddDDA7fE,"Dorsey, Love and Lewis",Singapore,20th century,MUSIC,3479
c1E60be8Af0cf14,Buckley and Sons,Guam,20th century,RECREATIONAL FACILITIES / SERVICES,8332
4fdeB14c1CFadfF,"Freeman, Andersen and Huerta",Saint Lucia,20th century,MARKETING / ADVERTISING / SALES,2681
A3c3daB9D974Dc0,Skinner-Randolph,Cape Verde,20th century,BUSINESS SUPPLIES / EQUIPMENT,8602
21c49FDd5ccD6A4,Haney Ltd,Sao Tome and Principe,20th century,FISHERY,4964
b4fa4Ae45F4AF4c,Perry PLC,Kenya,21th century,MARKETING / ADVERTISING / SALES,6599
4165AC8319AAbdC,"Guzman, Foley and Fuller",Norway,20th century,INVESTMENT MANAGEMENT / HEDGE FUND / PRIVATE EQUITY,8781
Fa2b47Df8Efac14,Whitney and Sons,Gabon,20th century,PACKAGE / FREIGHT DELIVERY,3246
5A735d9831CEe94,Mayo and Sons,Mexico,21th century,AVIATION / AEROSPACE,6499
AA4E2b54d9Ca6b2,Bernard Group,Cook Islands,21th century,PERFORMING ARTS,5709
ea40Edf5afdbC27,Arias-Wallace,Morocco,21th century,CONSUMER GOODS,1970
c3dBece4f4AeB3b,Williamson LLC,Congo,21th century,INTERNET,9166
035A0aBFe4b43B4,Goodman-Moreno,Turkey,20th century,LUXURY GOODS / JEWELRY,5191
6f1d2FecF7cb890,"Marsh, Hubbard and Benjamin",Lao People's Democratic Republic,21th century,MARKET RESEARCH,2859
0ECCeA89de4dACe,Garza-Richardson,Brunei Darussalam,20th century,NANOTECHNOLOGY,6337
13A361f9CE867Bd,Hartman LLC,Aruba,20th century,INSURANCE,3697
cFE458DAbFcFaE7,Werner-Roach,French Southern Territories,21th century,MEDICAL EQUIPMENT,5892
Eae7FDB16CA0BA3,Swanson-Conrad,Mali,21th century,COMMERCIAL REAL ESTATE,8418
6999Ded52F19Aa1,Herring Ltd,Suriname,20th century,PUBLIC RELATIONS / PR,1024
dFdBBc4ddB4aCEE,Key-Norman,Bulgaria,20th century,VETERINARY,5477
9c3411cA7aa2aBC,Bender-Thompson,Argentina,21th century,RELIGIOUS INSTITUTIONS,2974
4d99EF63d9eA80d,Acevedo and Sons,Latvia,20th century,ALTERNATIVE DISPUTE RESOLUTION,6238
64dD5a69f0E27c0,Proctor and Sons,Greenland,21th century,ALTERNATIVE MEDICINE,4052
dFAffF2d9aadB2f,Berger Inc,Tunisia,20th century,REAL ESTATE / MORTGAGE,5247
D1e76A75c07f916,"Brock, Fields and Gallagher",Bermuda,20th century,CONSUMER GOODS,9116
03AbCC19B9102BE,"Thomas, Delacruz and Horne",Iraq,21th century,FINE ART,2353
bB5F295cB334F95,Whitaker PLC,French Polynesia,20th century,BROADCAST MEDIA,7647
3480DaD1929B1A2,"Oconnell, Levine and Wiley",Andorra,20th century,SPORTS,8505
a1E21ec7e9f17AF,Valentine-Finley,Vietnam,20th century,MARITIME,5277
e6fCdC6a42Af0e5,Rush-Chavez,Heard Island and McDonald Islands,21th century,FUNDRAISING,6839
D43f8efc0E256ce,"Joseph, Kelley and Brooks",Togo,21th century,EVENTS SERVICES,4338
e15E0b8De9c8592,"Singh, Schneider and Benjamin",Ethiopia,21th century,WRITING / EDITING,6042
DCcECead25601f1,Bolton-Love,Peru,20th century,COMPUTER / NETWORK SECURITY,1563
Fb2B2f1c8c383Be,Cross-Ortega,Italy,20th century,OUTSOURCING / OFFSHORING,2063
A1d88Fe6eb3eeeC,"Howe, Mejia and Harper",Cambodia,20th century,RECREATIONAL FACILITIES / SERVICES,3262
bf54Bf3bA0F93Ea,"Wall, Maxwell and Salas",Guam,21th century,MARKETING / ADVERTISING / SALES,9382
c070d9E5A30BdFE,Stevens Group,Chile,21th century,MEDICAL EQUIPMENT,8426
EA9703aC3EA6b3E,Little-Mcintyre,Armenia,21th century,BROADCAST MEDIA,2261
8DFADC66bfc305B,Key LLC,Micronesia,20th century,HIGHER EDUCATION / ACADAMIA,6701
4eE3f04C76fCB2e,Parker PLC,Norway,20th century,MILITARY INDUSTRY,9833
f29b8C4a0bcFeD7,James Inc,Grenada,20th century,LAW ENFORCEMENT,6494
FEf1cBf6e48BBFC,"Michael, Mcclure and Campos",Bahamas,20th century,MEDICAL PRACTICE,4905
11Bf95afa2Ecdb7,Hicks-Sharp,Panama,20th century,ENVIRONMENTAL SERVICES,7182
c71BfDcB2D15359,Patrick-Mcmillan,American Samoa,21th century,GOVERNMENT ADMINISTRATION,2357
e4faEa3287460BD,"Golden, Olsen and Tate",Brunei Darussalam,20th century,COMPUTER / NETWORK SECURITY,7810
7FDe59ebbFEfAE7,"Mccarthy, Palmer and Randolph",Djibouti,20th century,LEISURE / TRAVEL,5374
7FB60de669D26F2,Hutchinson Inc,French Southern Territories,20th century,WIRELESS,2856
DeDaBaEF7bdDcBc,Harris-Sims,Aruba,20th century,GOVERNMENT RELATIONS,5631
88b208bCae81aDA,Bruce LLC,Guatemala,20th century,E - LEARNING,4355
5Fd09EFf92cEf22,"Gibbs, Rosales and Hendrix",Solomon Islands,21th century,PERFORMING ARTS,9509
ef1E1b3faD03b7F,Stephens and Sons,Philippines,20th century,VETERINARY,2797
CfdEFEBe37a3ACC,"Sharp, Garrison and Pineda",Hong Kong,20th century,INTERNET,1542
d3B7085f8fBDD56,"Frazier, Gamble and Holland",Holy See (Vatican City State),21th century,TEXTILES,9285
0D8b9F71E9eA57a,Church-Orozco,Singapore,20th century,MINING / METALS,1810
5f8c4e9eb9F8A8e,"Dominguez, Harrison and Woodard",Zambia,20th century,VETERINARY,5802
1CF995E81CAaaAB,Mccann-Skinner,New Zealand,20th century,MEDICAL EQUIPMENT,6144
02DE97A012f38DA,Gibson-Frank,Slovenia,21th century,INTERNATIONAL AFFAIRS,5792
75C34d3F5926d1d,"Schroeder, Griffin and House",Spain,20th century,MUSIC,2693
FbB1B439C81c411,"Sims, Gibson and Humphrey",Argentina,21th century,FISHERY,7683
fBE9FBbFCaB8AF9,Atkins Inc,American Samoa,20th century,IMPORT / EXPORT,5263
6C5eABCeDD43365,Kline-Dunn,Zimbabwe,21th century,RESTAURANTS,4182
dFCC4052aA2364E,"Burch, Beasley and Gardner",Dominican Republic,20th century,OTHER INDUSTRY,9455
DEedEaCf56D0B35,Trevino and Sons,Estonia,20th century,FISHERY,5628
dD9aCf52e3Df9e8,Middleton Inc,Thailand,21th century,SECURITY / INVESTIGATIONS,4598
CDEeDCaf12Ba9dF,"Moore, Mullen and Reid",Taiwan,20th century,LEGAL SERVICES,5133
651Bcd2C2BcBf4a,Farley Inc,United Kingdom,21th century,CONSTRUCTION,9206
E77df7c3BfA06CB,"Whitehead, Salinas and Haley",Spain,21th century,PHOTOGRAPHY,3819
57CDe20EC8eD0a9,"Ballard, Rojas and Marquez",Turkey,20th century,NON - PROFIT / VOLUNTEERING,3752
Fa3c81Fb99Ad5f6,"Rosario, Montoya and Randall",Jordan,21th century,LOGISTICS / PROCUREMENT,6231
E00Bac4D7E2aFBe,"Mora, Gardner and Mcpherson",Cyprus,20th century,WAREHOUSING,4541
B3BD6bC2d2Bed6D,"Gallegos, Vazquez and Griffith",Austria,20th century,POLITICAL ORGANIZATION,7903
626185cbD4dcDd3,"Dean, Daugherty and Simpson",Austria,20th century,FISHERY,7242
BFB471a965A5E7E,Ingram and Sons,Greenland,21th century,HIGHER EDUCATION / ACADAMIA,9822
4C4BAEC621e9A2D,Mcconnell-Conner,Bouvet Island (Bouvetoya),21th century,AIRLINES / AVIATION,4626
3EFDd37cBdfAFED,Villarreal-Moore,Togo,20th century,RELIGIOUS INSTITUTIONS,4562
fcbB87dB3871fCb,Golden Inc,Austria,21th century,DEFENSE / SPACE,8513
bA3Aa8dE6D96EAF,Harrison-Mullins,Guadeloupe,21th century,INDIVIDUAL / FAMILY SERVICES,1920
F5bBcCC588A7A68,Mccann-Cannon,British Virgin Islands,20th century,ARTS / CRAFTS,1231
38E8BbfD55EEdC7,"Nielsen, Browning and Cooley",Ethiopia,20th century,FURNITURE,6581
54858f87816CF51,Walsh LLC,Andorra,21th century,AVIATION / AEROSPACE,8761
fEEeBBe9bCb8C5d,Mejia-Valdez,Luxembourg,20th century,INFORMATION TECHNOLOGY / IT,8374
6f8aA19a4CAFcC6,"Herring, Huff and Morse",Iran,21th century,AUTOMOTIVE,1147
F91f0E460Edae1C,Yates-Eaton,Israel,20th century,FINE ART,9567
eFD43ddED47e75f,Moses Ltd,Egypt,21th century,APPAREL / FASHION,3930
7fA6f83b14BdFEa,Elliott-Cervantes,Palestinian Territory,21th century,BANKING / MORTGAGE,8827
C40A61B2CffDcbD,Rasmussen-Ramsey,United Arab Emirates,20th century,COMMERCIAL REAL ESTATE,7322
6fccF4eC65BE7Db,Good-Baxter,Zimbabwe,20th century,TELECOMMUNICATIONS,3711
E1B08C219a450E9,Adams-Fischer,Poland,21th century,CAPITAL MARKETS / HEDGE FUND / PRIVATE EQUITY,7873
F838cfCd9b9Bf8C,"Cowan, French and Crane",Bouvet Island (Bouvetoya),20th century,SPORTING GOODS,8829
1F3361f6C3d5aFd,Nichols-Case,Samoa,21th century,CIVIC / SOCIAL ORGANIZATION,3608
51Cd8c3bBB7bf32,Flowers Ltd,Cape Verde,20th century,BANKING / MORTGAGE,6905
E3CEFF7CE7bE7D3,Kramer-Key,Singapore,20th century,ONLINE PUBLISHING,9891
bbeC1376AF4b4Cf,Peterson-Cummings,Romania,21th century,DEFENSE / SPACE,9094
aD0C4788D7B289a,Delgado-Gallagher,Sudan,20th century,TRANSPORTATION,4664
b0CB4CF1FCD6e7C,Bass-Kirby,Niue,21th century,RESTAURANTS,1330
94ce72791a6d8dF,"Burke, Buck and Hernandez",Saudi Arabia,20th century,TOBACCO,9789
071bd64bE0d4e8D,"Trujillo, Stephens and Garrett",Comoros,20th century,LAW PRACTICE / LAW FIRMS,4439
FE3a8F6c2960EF6,Little-Cook,Finland,20th century,PACKAGE / FREIGHT DELIVERY,6853
4dCb930217CDf6e,Buckley Ltd,Antigua and Barbuda,20th century,PUBLIC SAFETY,5817
6361963EBCFC30B,"Conrad, Trujillo and Blanchard",Korea,20th century,PAPER / FOREST PRODUCTS,4336
7576c09F2e9C71D,"Bowen, Murphy and Mcdonald",Bhutan,21th century,COMPUTER / NETWORK SECURITY,1457
CAB8BCcDedaFf2f,Forbes-Morrison,Bulgaria,20th century,IMPORT / EXPORT,5142
C4F8f86B0fEcFed,Browning Inc,Japan,20th century,DEFENSE / SPACE,5581
81Eb3f6a9ed36cF,Horne-Gray,Qatar,20th century,COMPUTER / NETWORK SECURITY,1928
8ca1e9Cbac5aE04,Randall LLC,United States of America,20th century,COMPUTER SOFTWARE / ENGINEERING,9419
3fcD87b685EcA5E,Doyle and Sons,Cook Islands,21th century,SHIPBUILDING,5067
13DDc83CDDBeF6A,Cohen and Sons,Wallis and Futuna,20th century,HOSPITAL / HEALTH CARE,4765
f2F46C2D2cE4AC3,Cherry-Erickson,Qatar,21th century,LAW ENFORCEMENT,3126
1Ceb4B1D871DdbE,Cummings LLC,Congo,21th century,INTERNATIONAL TRADE / DEVELOPMENT,1998
aCC4bEC0Beeee8E,Franco-Mcmillan,Samoa,20th century,IMPORT / EXPORT,8206
888Da1e7A0392Fe,Blake-Leach,Holy See (Vatican City State),20th century,MARITIME,6670
3bfC4311cbd4F06,Willis PLC,Equatorial Guinea,21th century,INFORMATION TECHNOLOGY / IT,2450
2BcA6ec2bdDf23b,"Meyers, Rodgers and Odonnell",Canada,21th century,LEGAL SERVICES,7614
bF6f9df073fFed5,Giles Group,Mexico,21th century,CONSTRUCTION,8599
a1F0b5ABCCff67D,"Williamson, Kim and Luna",Rwanda,21th century,WAREHOUSING,6225
e5C7b184FAFc7cc,Gillespie-Burch,Cambodia,20th century,PRINTING,8346
dC55EdCEBAcB1ca,"Compton, Mata and Stout",Iceland,20th century,LIBRARY,2022
6e1CbD3AA2ADD5A,Mata-Ayala,Bouvet Island (Bouvetoya),21th century,FURNITURE,8980
91F270DEC9AE910,"Howe, Decker and Frye",Finland,20th century,SHIPBUILDING,5138
C3bfC1BD8507ab1,Norris Inc,Albania,20th century,VENTURE CAPITAL / VC,6930
4dd99A51c209888,Wong Ltd,Bulgaria,20th century,ARTS / CRAFTS,9616
EdB4EC5697e1938,Roman and Sons,United Arab Emirates,20th century,LEGISLATIVE OFFICE,2388
8643ABFEdF8fb56,Rogers Ltd,Ghana,20th century,FISHERY,4744
cfe91BF14ecCa00,Bowers-Mccarthy,Guinea,21th century,INTERNATIONAL AFFAIRS,6498
38E405CD9606A20,Warner and Sons,Venezuela,21th century,HUMAN RESOURCES / HR,3909
6DAADe610Adf0BB,"Melton, Bautista and Bradley",Afghanistan,20th century,MARKETING / ADVERTISING / SALES,9377
09c53d3458aFc9b,Phelps Group,Ireland,20th century,PROFESSIONAL TRAINING,6086
eDa38A2FBCc7308,"Yoder, Weiss and Ferrell",Mayotte,20th century,FARMING,9129
5bADFA3eAEBcaFB,Ball and Sons,Lao People's Democratic Republic,20th century,VENTURE CAPITAL / VC,8020
